Body,Bot classification
"This PR updates the testing documentation to encourage contributors to split large test files into smaller, feature-focused files.
Smaller test files improve readability, navigation, maintainability, and reviewability.
Fixes #181819",Maintenance
"This PR fixes `OutlineInputBorder` to properly respect the strokeAlign property of `BorderSide`. Previously, the border was always drawn as if strokeAlign was set to strokeAlignInside, regardless of the actual value specified.
Fixes: #179850
Before: 
<img width=""1654"" height=""444"" alt=""image"" src=""https://github.com/user-attachments/assets/98cade3a-34d5-4891-9d2e-2071d461f2b5"" />
After:
<img width=""887"" height=""241"" alt=""image"" src=""https://github.com/user-attachments/assets/11ff3b3e-013f-4a7d-aff5-f21fc64e3e6c"" />
## Pre-launch Checklist
- [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs.
- [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities.
- [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement].
- [x] I signed the [CLA].
- [x] I listed at least one issue that this PR fixes in the description above.
- [ ] I updated/added relevant documentation (doc comments with `///`).
- [x] I added new tests to check the change I am making, or this PR is [test-exempt].
- [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported.
- [x] All existing and new tests are passing.",Maintenance
"This version of Dart supports dot shorthands.
Follow-up to: https://github.com/flutter/flutter/issues/180607
See also:
 * https://flutter.dev/go/flutter-style-updates
 * https://github.com/flutter/flutter/pull/181934",Not maintenance
"This rewrites many of the include paths in Fuchsia engine code to use the full path of the file. For example:
```diff
-#include ""runtime/dart/utils/inlines.h""
+#include ""flutter/shell/platform/fuchsia/runtime/dart/utils/inlines.h""
```
I also cleaned up a few unused includes and convered the includes for the Fuchsia SDK to using angle backets.
## Pre-launch Checklist
- [X] I read the [Contributor Guide] and followed the process outlined there for submitting PRs.
- [X] I read the [Tree Hygiene] wiki page, which explains my responsibilities.
- [X] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement].
- [X] I signed the [CLA].
- [ ] I listed at least one issue that this PR fixes in the description above.
- [X] I updated/added relevant documentation (doc comments with `///`).
- [X] I added new tests to check the change I am making, or this PR is [test-exempt].
- [X] I followed the [breaking change policy] and added [Data Driven Fixes] where supported.
- [ ] All existing and new tests are passing.",Maintenance
"This PR changes the signatures of `handleThumbPressStart`, `handleThumbPressUpdate`, and `handleThumbPressEnd`, related to scrollbar handling, to take in a copy of the original event with the `localPosition` added inside, instead of separate fields.
This centralizes the copying of these events by the generic platform code (while still allowing some of them to re-copy based on implementation details), ensures that additional fields are propagated (such as `kind` when it exists, `buttons` when it is eventually added, and others) and simplifies the method signature significantly, future proofing it to future additions.
This was extracted from https://github.com/flutter/flutter/pull/176968 in an attempt to simplify it, and it will make it possible to add the missing `buttons` property to these events more easily.
This also adds a `copyWith` method to these events in an attempt to ensure that the copies have all non-specified fields propagated by centralizing the ""exhaustiveness"" of the copy into the event class itself; that way if a new field is added in the future it can be trivially added to the `copyWith` method and not require figuring out all ""copiers"" out there (specially if it has a default value which could go un-noticed elsewhere).
Note: this is a public signature change but only if people are creating their own custom scrollbar implementations (?) without using either the material or cupertino ones; and on top of that should be very trivial to fix. But please advise if there are concerns.
Note: this has no test changes because it is a refactor which should have zero change in behaviour; the existing tests passing is proof of it working. So I am disregarding this bot, but please advise if I am mistaken.
Note: this PR assumes that the `renderBox.localToGlobal(localPosition)` computation that was previously done was essentially the _reverse_ of the global -> local computation, so essentially the flow was `global --(global to local)--> local --(local to global)--> global` (the second step being there just because we didn't provide the original global to the method). So this is saving a computation step and should not change the behaviour. I will let the tests be the judge of this assumption but please let me know if there are concerns.
## Pre-launch Checklist
- [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs.
- [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities.
- [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement].
- [x] I signed the [CLA].
- [ ] I listed at least one issue that this PR fixes in the description above.
- [x] I updated/added relevant documentation (doc comments with `///`).
- [ ] I added new tests to check the change I am making, or this PR is [test-exempt].
- [ ] I followed the [breaking change policy] and added [Data Driven Fixes] where supported.
- [ ] All existing and new tests are passing.
<!-- Links -->
[Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview
[Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md
[test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests
[Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md
[Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement
[CLA]: https://cla.developers.google.com/
[flutter/tests]: https://github.com/flutter/tests
[breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes
[Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md
[Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md",Maintenance
The only cherry pick is https://github.com/flutter/flutter/pull/181607.,Not maintenance
"Companion PR: https://github.com/flutter/flutter/pull/181934
Design doc: [Flutter Style Updates](https://docs.google.com/document/d/1Ao6RZmI4F8VSCpN-89o0Y6bZXhYb1-qgVGV5tALxm48/edit?tab=t.0)
Closes https://github.com/flutter/flutter/issues/180607
Also closing https://github.com/flutter/flutter/pull/172296
## Pre-launch Checklist
- [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs.
- [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities.
- [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement].
- [x] I signed the [CLA].
- [x] I listed at least one issue that this PR fixes in the description above.
- [x] I updated/added relevant documentation (doc comments with `///`).
- [x] I added new tests to check the change I am making, or this PR is [test-exempt].
- [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported.
- [x] All existing and new tests are passing.
If you need help, consider asking for advice on the #hackers-new channel on [Discord].
**Note**: The Flutter team is currently trialing the use of [Gemini Code Assist for GitHub](https://developers.google.com/gemini-code-assist/docs/review-github-code). Comments from the `gemini-code-assist` bot should not be taken as authoritative feedback from the Flutter team. If you find its comments useful you can update your code accordingly, but if you are unsure or disagree with the feedback, please feel free to wait for a Flutter team member's review for guidance on which automated comments should be addressed.
<!-- Links -->
[Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview
[Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md
[test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests
[Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md
[Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement
[CLA]: https://cla.developers.google.com/
[flutter/tests]: https://github.com/flutter/tests
[breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes
[Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md
[Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md
",Not maintenance
"This updates the style guide following the [flutter.dev/go/flutter-style-updates](https://flutter.dev/go/flutter-style-updates) Dash Forum.
Companion PR: https://github.com/flutter/flutter/pull/181985
Part of: https://github.com/flutter/flutter/issues/180607
### Gemini's style guide
This change does not update [Gemini's style guide](https://github.com/flutter/flutter/blob/master/.gemini/styleguide.md) since that links to Flutter's style guide.
## Pre-launch Checklist
- [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs.
- [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities.
- [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement].
- [x] I signed the [CLA].
- [x] I listed at least one issue that this PR fixes in the description above.
- [x] I updated/added relevant documentation (doc comments with `///`).
- [x] I added new tests to check the change I am making, or this PR is [test-exempt].
- [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported.
- [x] All existing and new tests are passing.
If you need help, consider asking for advice on the #hackers-new channel on [Discord].
**Note**: The Flutter team is currently trialing the use of [Gemini Code Assist for GitHub](https://developers.google.com/gemini-code-assist/docs/review-github-code). Comments from the `gemini-code-assist` bot should not be taken as authoritative feedback from the Flutter team. If you find its comments useful you can update your code accordingly, but if you are unsure or disagree with the feedback, please feel free to wait for a Flutter team member's review for guidance on which automated comments should be addressed.
<!-- Links -->
[Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview
[Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md
[test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests
[Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md
[Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement
[CLA]: https://cla.developers.google.com/
[flutter/tests]: https://github.com/flutter/tests
[breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes
[Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md
[Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md
",Not maintenance
"### Steps to reproduce
1. Get your hands on an old android device without support for `GL_OES_EGL_image_external` and no vulkan support like the fairphone 2.
2. Install ""Goguma"" from play store or f-droid https://f-droid.org/packages/fr.emersion.goguma/
3. Run app and observe that it crashes
### Expected results
App does not crash
### Actual results
App crashes with the below error message about `GL_OES_EGL_image_external` not being available. Note that if I build the app following the instructions here to disable impeller it does run. https://docs.flutter.dev/perf/impeller
It seems that flutter should detect if the extension `GL_OES_EGL_image_external` is available to use when probing for impeller support and if not fallback to the old renderer.  
### Code sample
<details open><summary>Code sample</summary>
```dart
```
</details>
### Screenshots or Video
<details open>
<summary>Screenshots / Video demonstration</summary>
[Upload media here]
</details>
### Logs
<details open><summary>Logs</summary>
```console
2026-01-27 21:00:04.865  6563-6687  Adreno-SC               fr.emersion.goguma                   E  <CPPShInfoLogMsg:842>: GLSL line 2: Error: extension 'GL_OES_EGL_image_external_essl3' is not supported 
2026-01-27 21:00:04.868  6563-6687  flutter                 fr.emersion.goguma                   E  [ERROR:flutter/impeller/renderer/backend/gles/pipeline_library_gles.cc(74)] Break on 'ImpellerValidationBreak' to inspect point of failure: Failed to compile fragment shader for 'TiledTextureFillExternal Pipeline' with error:
                                                                                                    Fragment shader compilation failed.
                                                                                                    ERROR: 0:2: '' :     GLSL error: extension 'GL_OES_EGL_image_external_essl3' is not supported
                                                                                                    ERROR: 0:13: 'samplerExternalOES' : requires extension GL_OES_EGL_image_external to be enabled 
                                                                                                    ERROR: 2 compilation errors.  No code generated.
```
</details>
### Flutter Doctor output
<details open><summary>Doctor output</summary>
```console
```
</details>",Not maintenance
"…tent NaN problem
<!--
Thanks for filing a pull request!
Reviewers are typically assigned within a week of filing a request.
To learn more about code review, see our documentation on Tree Hygiene: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md
-->
besides the general piping through parameters and breaking change. Fixing an issue when the shrinkwrap: true the mainAxisExetent will be double.infinity, which cause the cacheExtent to be double.Nan after the calculation and crash the app.
## Pre-launch Checklist
- [ ] I read the [Contributor Guide] and followed the process outlined there for submitting PRs.
- [ ] I read the [Tree Hygiene] wiki page, which explains my responsibilities.
- [ ] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement].
- [ ] I signed the [CLA].
- [ ] I listed at least one issue that this PR fixes in the description above.
- [ ] I updated/added relevant documentation (doc comments with `///`).
- [ ] I added new tests to check the change I am making, or this PR is [test-exempt].
- [ ] I followed the [breaking change policy] and added [Data Driven Fixes] where supported.
- [ ] All existing and new tests are passing.
If you need help, consider asking for advice on the #hackers-new channel on [Discord].
**Note**: The Flutter team is currently trialing the use of [Gemini Code Assist for GitHub](https://developers.google.com/gemini-code-assist/docs/review-github-code). Comments from the `gemini-code-assist` bot should not be taken as authoritative feedback from the Flutter team. If you find its comments useful you can update your code accordingly, but if you are unsure or disagree with the feedback, please feel free to wait for a Flutter team member's review for guidance on which automated comments should be addressed.
<!-- Links -->
[Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview
[Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md
[test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests
[Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md
[Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement
[CLA]: https://cla.developers.google.com/
[flutter/tests]: https://github.com/flutter/tests
[breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes
[Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md
[Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md",Maintenance
